st_zip,ed_zip,distance
10006,10003,4165
10006,10004,1433
10006,10005,1237
10006,10006,0
10006,10007,1072
10006,10009,6472
10006,10010,7790
10006,10011,4346
10006,10012,2821
10006,10013,1800
10006,10014,3619
10006,10016,9183
10006,10017,9273
10006,10018,6661
10006,10019,7869
10006,10021,11640
10006,10022,10258
10006,10023,8865
10006,10024,10439
10006,10025,11967
10006,10026,16479
10006,10027,14567
10006,10028,14587
10006,10029,14622
10006,10030,18312
10006,10031,21207
10006,10032,18242
10006,10033,21633
10006,10034,23476
10006,10035,17111
10006,10036,6940
10006,10037,17485
10006,10038,5572
10006,10039,19911
10006,10040,23584
10006,10044,14535
10006,10065,11225
10006,10069,8983
10006,10075,1433
10006,10128,14500
10006,10280,1755
10006,10282,1504
10006,10301,22623
10006,10302,27057
10006,10303,27545
10006,10304,19044
10006,10305,18149
10006,10306,26672
10006,10307,43093
10006,10308,30646
10006,10309,38336
10006,10310,22444
10006,10312,36425
10006,10314,25221
10006,10451,19133
10006,10452,20794
10006,10453,23869
10006,10454,17580
10006,10455,19830
10006,10456,20667
10006,10457,24251
10006,10458,29544
10006,10459,22707
10006,10460,23621
10006,10461,27888
10006,10462,25948
10006,10463,25894
10006,10464,33657
10006,10465,27115
10006,10466,31244
10006,10467,28203
10006,10468,24854
10006,10469,31946
10006,10471,31031
10006,10472,23517
10006,10473,23689
10006,10474,22548
10006,10475,31567
10006,11101,12383
10006,11102,21101
10006,11103,18292
10006,11104,13324
10006,11105,18492
10006,11106,15138
10006,11201,4223
10006,11203,13183
10006,11204,13237
10006,11205,5632
10006,11206,7646
10006,11207,13130
10006,11208,38341
10006,11209,13168
10006,11210,13641
10006,11211,7345
10006,11212,12293
10006,11213,9965
10006,11214,19188
10006,11215,7126
10006,11216,8150
10006,11217,5788
10006,11218,9544
10006,11219,11286
10006,11220,11403
10006,11221,9333
10006,11222,10066
10006,11223,15106
10006,11224,20817
10006,11225,11825
10006,11226,11170
10006,11228,13574
10006,11229,16219
10006,11230,12129
10006,11231,5667
10006,11232,8976
10006,11233,10557
10006,11234,31118
10006,11235,22686
10006,11236,34625
10006,11237,12783
10006,11238,6908
10006,11239,34671
10006,11354,23866
10006,11355,21629
10006,11356,25721
10006,11357,26916
10006,11358,25616
10006,11360,34586
10006,11361,28075
10006,11362,28983
10006,11363,30442
10006,11364,26733
10006,11365,23189
10006,11367,22636
10006,11368,19232
10006,11369,18521
10006,11370,16669
10006,11372,16005
10006,11373,15668
10006,11374,16970
10006,11375,18334
10006,11377,13747
10006,11378,13504
10006,11379,15717
10006,11385,15847
10006,11411,36037
10006,11412,28783
10006,11413,45118
10006,11414,38486
10006,11415,23759
10006,11416,22259
10006,11417,38994
10006,11418,21407
10006,11419,26422
10006,11420,40517
10006,11421,21664
10006,11422,46821
10006,11423,27145
10006,11426,30110
10006,11427,27977
10006,11428,28785
10006,11429,30237
10006,11432,25530
10006,11433,26468
10006,11434,44863
10006,11435,24470
10006,11436,27627
10006,11691,42864
10006,11692,39520
10006,11693,44378
10006,11694,35277
10007,10001,5392
10007,10002,2710
10007,10003,3560
10007,10004,828
10007,10005,1455
10007,10006,1844
10007,10007,0
10007,10009,5322
10007,10010,6640
10007,10011,3741
10007,10012,2215
10007,10013,1195
10007,10014,3099
10007,10016,8033
10007,10017,8123
10007,10018,6141
10007,10019,7349
10007,10021,10490
10007,10022,9108
10007,10023,8345
10007,10024,9919
10007,10025,11447
10007,10026,15330
10007,10027,14047
10007,10028,13437
10007,10029,13472
10007,10030,17162
10007,10031,20057
10007,10032,17722
10007,10033,20483
10007,10034,22327
10007,10035,15961
10007,10036,6420
10007,10037,16335
10007,10038,5074
10007,10039,18761
10007,10040,22435
10007,10044,13386
10007,10065,10075
10007,10069,8463
10007,10075,828
10007,10128,13350
10007,10280,1415
10007,10282,984
10007,10301,23222
10007,10302,27656
10007,10303,28145
10007,10304,19644
10007,10305,18748
10007,10306,27272
10007,10307,43693
10007,10308,31246
10007,10309,38935
10007,10310,23044
10007,10312,37025
10007,10314,25821
10007,10451,17983
10007,10452,19645
10007,10453,22720
10007,10454,16430
10007,10455,18681
10007,10456,19517
10007,10457,23101
10007,10458,28394
10007,10459,21557
10007,10460,22471
10007,10461,26738
10007,10462,24798
10007,10463,24744
10007,10464,32507
10007,10465,25965
10007,10466,30094
10007,10467,27053
10007,10468,23704
10007,10469,30796
10007,10471,29881
10007,10472,22368
10007,10473,22540
10007,10474,21398
10007,10475,30417
10007,11101,11233
10007,11102,19951
10007,11103,17795
10007,11104,12826
10007,11105,17995
10007,11106,13988
10007,11201,3726
10007,11203,13783
10007,11204,13836
10007,11205,5134
10007,11206,7148
10007,11207,12632
10007,11208,14182
10007,11209,13768
10007,11210,14241
10007,11211,6848
10007,11212,11796
10007,11213,9468
10007,11214,19787
10007,11215,7725
10007,11216,7653
10007,11217,5291
10007,11218,10143
10007,11219,11885
10007,11220,12002
