,from,to,cost
351,2,13,1.7213831554199597
352,2,14,2.752024768810832
353,2,15,2.6134504750840915
354,2,16,3.7644252064462758
355,2,17,4.863812775489531
356,2,18,3.4854014058055007
357,2,19,5.038306989761218
358,2,20,6.213542308751493
359,2,21,7.560300182124092
360,2,22,8.411723067404909
361,2,23,9.373073492443101
362,2,24,5.862513729339586
363,2,25,7.697833035131201
364,2,26,10.431557647809862
365,2,27,10.858714565241867
366,2,28,12.521926196738749
367,2,29,13.894301431032668
368,2,30,16.01514533845522
369,2,31,8.912469634025776
370,2,32,3.16142690649202
371,2,33,10.096357743305672
372,2,34,2.566618777895849
373,2,35,11.411736730024492
374,2,36,14.973473458165683
375,2,37,4.706871992274266
376,2,38,4.323204212853721
377,2,39,5.186436177484762
378,2,40,2.361887768524926
379,2,41,6.446086697088713
380,2,42,3.2523429634531746
381,2,43,2.6962509285764615
382,2,44,14.111550332251946
383,2,45,16.824959163362465
384,2,46,18.343998474004593
385,2,47,15.822397165815545
386,2,48,16.622156168144627
387,2,49,21.152994451645295
388,2,50,32.8450501345481
389,2,51,24.256260089968297
390,2,52,28.778626632211605
391,2,53,15.411922341257027
392,2,54,26.136485990698013
393,2,55,19.458609114940675
394,2,56,11.59167968950507
395,2,57,13.111331111350841
396,2,58,14.870415176324698
397,2,59,10.383993954305604
398,2,60,11.616277194489975
399,2,61,12.994989252855726
400,2,62,15.049515712426421
401,2,63,16.901731284958913
402,2,64,13.121132529507662
403,2,65,15.297954910614063
404,2,66,17.89196692494147
405,2,67,16.538544725349656
406,2,68,17.900109073446405
407,2,69,21.32845267433039
408,2,70,17.77085036212123
409,2,71,21.201725517263494
410,2,72,18.687428998262153
411,2,73,16.754239853584973
412,2,74,19.4140822108374
413,2,75,20.141181872922516
414,2,76,14.74676961307107
415,2,77,14.614320873490719
416,2,78,12.761937836757605
417,2,79,20.803094161346912
418,2,80,4.850693951142268
419,2,81,6.861807017567606
420,2,82,7.178819612140081
421,2,83,5.871143390554416
422,2,84,8.281436544910157
423,2,85,6.0128682554073745
424,2,86,4.143146515395445
425,2,87,10.078455820854908
426,2,88,12.596478342922774
427,2,89,4.723081940143311
428,2,90,5.100791285018947
429,2,91,10.50334073046569
430,2,92,11.527409827230558
431,2,93,12.294501362695177
432,2,94,12.010166321987851
433,2,95,3.686102003200395
434,2,96,9.91124423201562
435,2,97,8.125626338273694
436,2,98,14.417186191802978
437,2,99,7.171924071094194
438,2,100,6.66454631399162
439,2,101,5.575971548976243
440,2,102,9.936926934369819
441,2,103,10.864586382249719
442,2,104,10.210710368442692
443,2,105,6.899165912702715
444,2,106,3.359449910107183
445,2,107,14.867211586175472
446,2,108,17.168034488236547
447,2,109,8.14955173036575
448,2,110,9.780998993977455
449,2,111,12.795653824141908
450,2,112,14.882134997451228
451,2,113,12.253996456853708
452,2,114,5.85489389100635
453,2,115,8.859247796877874
454,2,116,8.223758296217117
455,2,117,13.485923665707919
456,2,118,16.64294543487602
457,2,119,12.432455021772563
458,2,120,6.914884648237217
459,2,121,6.174404003381189
460,2,122,12.790910025648198
461,2,123,14.486850361060071
462,2,124,14.287585352434967
463,2,125,13.582839761221981
464,2,126,16.300134290071853
465,2,127,16.572155255915387
466,2,128,18.401240014072393
467,2,129,18.46494198978111
468,2,130,21.890783090969478
469,2,131,21.083939409039306
470,2,132,19.50342957337497
471,2,133,16.41001437952697
472,2,134,14.340601256460397
473,2,135,10.93135251601491
474,2,136,10.291993611493634
475,2,137,8.882479262328696
476,2,138,9.240868624081934
477,2,139,9.436685441019161
478,2,140,10.904609099008765
479,2,141,12.024125022870948
480,2,142,7.1161849607173275
481,2,143,7.605539620050805
482,2,144,9.422469883962767
483,2,145,8.44637982917781
484,2,146,21.661574753446633
